object_id,sdss_name,apparent_mag_2500,f_host_4200
1388322,024950.75-004224.3,22.195953845230697,-1.0
1388304,024954.38+003654.2,22.248835317738916,-1.0
1388270,024959.77-000104.2,22.17133410348803,-1.0
1388234,025005.69-004054.9,22.343459974609992,-1.0
1388230,025007.03+002525.3,19.925598744513202,-1.0
1388172,025019.27+003100.6,22.239621002576705,-1.0
1388166,025020.45-005711.1,22.117537066800857,-1.0
1388129,025026.66+000903.4,22.10801605159667,-1.0
1388108,025030.78-000801.8,20.044039352727275,-1.0
1388092,025033.21+003829.0,22.03354043512237,-1.0
1388070,025038.68-004739.1,20.91862208362661,-1.0
1388067,025039.82-004749.5,23.303960903561297,-1.0
1388051,025042.45+003536.7,20.892310827279637,-1.0
1388047,025042.90-004138.8,22.296551913613477,-1.0
1388025,025048.66+000207.4,20.545365655882513,-1.0
1388012,025050.63+004503.3,23.157446752285303,-1.0
1387946,025101.00+004802.9,20.772127177063986,-1.0
1387938,025102.69+000600.6,20.738648160443738,-1.0
1387917,025105.14-001732.1,22.447768606560395,-1.0
1387876,025115.49+003135.1,22.89469123148664,-1.0
1387821,025128.38+001144.5,21.63548185504144,-1.0
1387819,025128.72-002650.9,22.770856081701687,-1.0
1387807,025131.66+003251.7,23.515112798924513,-1.0
1387743,025145.09-004639.7,21.67616513912113,-1.0
1387735,025146.78-004035.6,21.074289387862102,-1.0
1387725,025148.53-004637.7,21.189399527292046,-1.0
1387714,025151.27+005739.2,22.5394694693126,-1.0
1387712,025151.52-000407.2,22.78506893246253,-1.0
1387687,025156.19+001437.1,22.504444975763725,-1.0
1387685,025156.30+005706.5,20.89152932896399,-1.0
1387641,025204.28+003137.0,22.92510580734804,-1.0
1387636,025205.88+001705.7,23.25835588951906,-1.0
1387618,025209.79+000549.0,22.6286201196556,-1.0
1387579,025217.48-005249.3,21.685065082888222,-1.0
1387557,025220.54+002735.0,21.90394728223803,-1.0
1387551,025221.02+000559.2,19.126669437430515,-1.0
1387546,025221.54+002832.5,21.531150418375127,-1.0
1387544,025221.84-003358.6,22.798348344320097,-1.0
1387528,025223.48-003623.7,22.877499290762394,-1.0
1387518,025224.97+001308.1,22.59756390869486,-1.0
1387513,025225.52+003405.7,22.05234830649122,-1.0
1387498,025228.55+003109.0,20.12551596539847,-1.0
1387494,025229.25+001624.3,23.80208297937974,-1.0
1387472,025233.79+004340.6,22.402114857145044,-1.0
1387458,025237.80-004627.9,21.115809528959794,-1.0
1387457,025237.92-005406.4,21.542147027987575,-1.0
1387409,025247.33+005135.1,21.38479977013683,-1.0
1387390,025250.10+000830.4,23.111267843022397,-1.0
1387366,025254.01+005832.0,22.42418796484302,-1.0
1387321,025301.96+000053.3,22.72311464871465,-1.0
1387268,025311.70-004241.8,22.056529606747013,-1.0
1387264,025312.94-003729.5,22.68151423450673,-1.0
1387226,025318.92+001559.3,22.600145102681502,-1.0
1387206,025323.61+000230.4,20.931079508374815,-1.0
1387205,025323.64+000446.7,21.849596199456236,-1.0
1387201,025324.70-002655.8,21.469001121968482,-1.0
1387174,025329.36+002753.8,21.722914171289197,-1.0
1387164,025331.92+001624.7,21.045402005620595,-1.0
1387156,025333.54+001634.2,23.0875223806189,-1.0
1387151,025335.12-003039.4,23.329461578821373,-1.0
1387119,025340.94+001110.0,20.11515946191559,-1.0
1387099,025345.39-003809.7,22.289822634138126,-1.0
1387044,025356.07+001057.3,21.542903890176426,-1.0
1387043,025356.81-001123.8,20.87098129206411,-1.0
1387017,025401.56+000317.1,22.61234051660825,-1.0
1386875,025428.31+002418.2,22.676499414875103,-1.0
1386837,025435.41+000523.2,22.469303891526742,-1.0
1386822,025438.36+002132.6,22.044208798368622,-1.0
1386720,025458.30-001142.1,21.621281272172176,-1.0
1386671,025510.55-000713.0,22.491449858491173,-1.0
1386655,025513.02+000639.3,21.72719633281448,-1.0
1386553,025528.92-000219.2,21.431566924814085,-1.0
