i,object_id,sdss_name,z,log_lbol,log_lbol_err,log_tau_rest,log_tau_rest_err,log_sigma,log_sigma_err,log_jitter,magerrs_mean
25,1440493,001426.30+004529.1,2.024524065280388,46.25168267894443,0.0068963967039756,1.9950373650281112,0.4034847781212911,[-0.88345111 -0.96192854 -1.1095138 ],[0.14120665 0.18294245 0.41866665],[-11.68475012 -11.34186932 -13.79335857],[0.12317493 0.11757493 0.08951263]
26,1440494,001426.28-010453.4,2.3740389211286974,45.519643728147344,0.0363000068772692,-0.8848954028097353,1.2071202024605627,[-1.99621551 -0.74167782 -1.35582978],[0.72224783 1.00567734 1.07508781],[-15.12791815  -6.11154904  -4.83281905],[0.29201195 0.20933656 0.17859063]
27,1440504,001423.79+003843.4,1.199838970538446,45.47431976689247,0.0096736364517617,3.168045811478457,0.6740236742799257,[-0.52956493 -0.51203439 -0.6283444 ],[0.32776242 0.3460121  0.35176407],[-17.24833205 -13.49316989 -16.00238144],[0.09256285 0.08014394 0.11391825]
28,1440505,001423.72-010201.5,1.558444361613789,44.99334470805497,0.0565749731365805,1.64948145274718,1.951940023247392,[-7.26075636 -9.06470556 -2.30441044],[1.58223805 1.81312712 1.81622297],[ -8.99023144 -15.61425562 -16.81549407],[0.19820961 0.18401617 0.17786672]
29,1440508,001423.15-003502.6,0.9568425686173287,45.46731530260766,0.0045787876919796,3.0056726348071567,0.5383557454797971,[-0.29950075 -0.41981611 -0.49163593],[0.25524349 0.2652924  0.27279595],[-16.28502162 -12.0537877   -2.42095737],[0.13707833 0.13229849 0.09616376]
30,1440510,001422.24-011306.1,1.8762593528551832,45.7296561349875,0.0180729237997212,2.0543194328280405,0.9114413108239824,[-0.92466703 -0.36716498 -2.18052607],[0.45793561 0.63638713 0.85077073],[ -5.3521744  -16.24151384 -14.8935787 ],[0.18442634 0.18000516 0.14827794]
31,1440519,001420.44-003620.3,0.9611202169604948,45.6111946080653,0.0078003912027533,2.361133098263189,0.6497761144278322,[-1.00928654 -0.66935177 -0.83580063],[0.43948781 0.58728444 0.59949376],[ -1.58273619  -8.5610392  -10.60707241],[0.09045637 0.08272061 0.08938588]
32,1440521,001420.18+011212.7,2.1794865524037266,46.74490832038279,0.0027049018623834,2.5166076494704868,0.4300121048257379,[-0.71193804 -0.70890971 -0.88990179],[0.19563451 0.19630354 0.19977542],[-9.23423454 -8.41878462 -7.17808801],[0.08845539 0.08891474 0.07551374]
33,1440524,001419.27-002345.6,1.280172979724873,45.6063948843169,0.0098606194474584,1.1800596414162443,0.458455581707035,[-0.620254   -0.60634931 -1.09453163],[0.15334537 0.22278465 0.28103723],[-16.83320942 -14.33840605  -5.38118189],[0.11197382 0.11553247 0.09743832]
34,1440525,001418.63-000206.5,1.442782652600178,45.07033142109108,0.0489826362440695,1.5885540703362877,2.002727200218496,[ -8.62989173 -10.60847723  -2.14035519],[1.40078304 1.68552231 1.64826825],[-15.32609646 -13.74676781 -12.10619824],[0.17212222 0.16702041 0.16696663]
35,1440526,001418.59+003810.2,1.4767457406689362,45.36309391480765,0.0134247239292903,1.971549318955924,0.6872376461097273,[-13.4169331  -0.4578935  -0.9717371],[0.63883617 0.88408717 0.88636292],[ -9.66411981 -14.70177012  -7.10896521],[0.17702683 0.15867661 0.16423595]
36,1440528,001417.70+003221.4,1.5371047258377075,45.77986815708611,0.0086367915054879,1.929852984282093,0.5759815093191865,[-2.41281075 -0.66957671 -0.48541087],[0.68237846 0.92747339 0.93103535],[-11.18522898 -17.17545563 -13.89469585],[0.2019885  0.16656166 0.14456541]
